caseid,race,vote2020,faminc,fips,wait,land_area,county_name,state,county_pop,income_county,region
1254068751,1,"2","3",1001,"3",594.44373,"Autauga County","Alabama",55200,41.618,"S"
1250331441,5,"3","9",1001,"3",594.44373,"Autauga County","Alabama",55200,41.618,"S"
1255944755,1,"1","12",1001,"5",594.44373,"Autauga County","Alabama",55200,41.618,"S"
1241313747,1,"2","2",1001,"2",594.44373,"Autauga County","Alabama",55200,41.618,"S"
1239711963,1,"1","8",1003,"4",1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
1243710627,1,"1","9",1003,"4",1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
1241288691,1,"2","8",1003,"5",1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
1238088099,1,"1","97",1003,"4",1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
1248528449,1,"2","2",1003,"4",1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
1245334285,1,"2","10",1003,"2",1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
1250517731,2,"1","9",1003,"3",1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
1242984649,1,"2","9",1003,"3",1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
1236921217,1,"1","7",1003,"5",1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
1243785001,1,"2","13",1003,"5",1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
1244060705,1,"1","4",1003,"3",1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
1245141539,1,"1","10",1003,"3",1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
1232358853,1,"1","9",1003,"6",1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
1237387095,1,"2","7",1003,"5",1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
1237401941,1,"1","12",1003,"2",1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
1239785719,1,"1","2",1003,"5",1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
1249587319,4,"2","11",1003,"5",1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
1242174799,1,"1","5",1003,"3",1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
1240004273,1,"1","2",1003,"1",1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
1240922297,1,"1","4",1003,"5",1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
1246771173,1,"1","2",1003,"5",1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
1237597683,1,"1","97",1003,"1",1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
1240178173,3,"1","3",1007,"1",622.46137,"Bibb County","Alabama",22527,30.254,"S"
1247684019,3,"1","3",1007,"2",622.46137,"Bibb County","Alabama",22527,30.254,"S"
1249770903,1,"1","3",1009,"2",644.83075,"Blount County","Alabama",57645,34.976,"S"
1239525363,1,"1","6",1009,"2",644.83075,"Blount County","Alabama",57645,34.976,"S"
1232901141,7,"1","4",1009,"2",644.83075,"Blount County","Alabama",57645,34.976,"S"
1241151867,1,"1","4",1009,"3",644.83075,"Blount County","Alabama",57645,34.976,"S"
1242547227,1,"1","7",1009,"3",644.83075,"Blount County","Alabama",57645,34.976,"S"
1258550171,1,"1","4",1009,"3",644.83075,"Blount County","Alabama",57645,34.976,"S"
1237290325,1,"2","7",1009,"3",644.83075,"Blount County","Alabama",57645,34.976,"S"
1238969133,1,"1","4",1009,"2",644.83075,"Blount County","Alabama",57645,34.976,"S"
1248656031,2,"2","9",1011,"2",622.80565,"Bullock County","Alabama",10352,28.797,"S"
1254156615,1,"1","3",1013,"2",776.83855,"Butler County","Alabama",20025,36.45,"S"
1239888479,1,"1","9",1013,"3",776.83855,"Butler County","Alabama",20025,36.45,"S"
1236521681,1,"1","6",1015,"2",605.86753,"Calhoun County","Alabama",115098,37.12,"S"
1257695403,1,"2","3",1015,"4",605.86753,"Calhoun County","Alabama",115098,37.12,"S"
1239839321,1,"1","6",1015,"1",605.86753,"Calhoun County","Alabama",115098,37.12,"S"
1242630513,1,"1","4",1015,"3",605.86753,"Calhoun County","Alabama",115098,37.12,"S"
1236470083,1,"1","4",1015,"3",605.86753,"Calhoun County","Alabama",115098,37.12,"S"
1248143191,1,"1","4",1015,"3",605.86753,"Calhoun County","Alabama",115098,37.12,"S"
1243272597,1,"2","5",1015,"1",605.86753,"Calhoun County","Alabama",115098,37.12,"S"
1248678355,1,"1","5",1015,"2",605.86753,"Calhoun County","Alabama",115098,37.12,"S"
1237598873,1,"1","8",1015,"2",605.86753,"Calhoun County","Alabama",115098,37.12,"S"
1245176421,5,"1","1",1015,"2",605.86753,"Calhoun County","Alabama",115098,37.12,"S"
1239705503,1,"1","5",1015,"3",605.86753,"Calhoun County","Alabama",115098,37.12,"S"
1240113549,1,"1","3",1017,"2",596.56091,"Chambers County","Alabama",33826,33.859,"S"
1240610533,2,"2","10",1017,"3",596.56091,"Chambers County","Alabama",33826,33.859,"S"
1242175607,1,"1","4",1017,"1",596.56091,"Chambers County","Alabama",33826,33.859,"S"
1247882455,1,"1","5",1017,"2",596.56091,"Chambers County","Alabama",33826,33.859,"S"
1239196985,1,"1","3",1019,"1",553.52508,"Cherokee County","Alabama",25853,35.505,"S"
1235207747,1,"2","4",1019,"1",553.52508,"Cherokee County","Alabama",25853,35.505,"S"
1232722267,1,"1","4",1019,"1",553.52508,"Cherokee County","Alabama",25853,35.505,"S"
1247692743,1,"1","6",1019,"1",553.52508,"Cherokee County","Alabama",25853,35.505,"S"
1243837701,1,"1","6",1019,"2",553.52508,"Cherokee County","Alabama",25853,35.505,"S"
1237188817,1,"5","3",1021,"2",692.8515,"Chilton County","Alabama",43930,34.798,"S"
1232632513,1,"1","3",1021,"1",692.8515,"Chilton County","Alabama",43930,34.798,"S"
1232894267,1,"1","2",1021,"3",692.8515,"Chilton County","Alabama",43930,34.798,"S"
1255056359,2,"2","5",1025,"1",1238.4205,"Clarke County","Alabama",24387,36.361,"S"
1242525677,1,"1","5",1025,"2",1238.4205,"Clarke County","Alabama",24387,36.361,"S"
1254248211,5,"1","4",1027,"2",603.96104,"Clay County","Alabama",13378,33.53,"S"
1246428075,1,"1","8",1031,"3",678.98613,"Coffee County","Alabama",51288,43.094,"S"
1239833459,1,"1","11",1031,"2",678.98613,"Coffee County","Alabama",51288,43.094,"S"
1242915247,1,"1","11",1031,"2",678.98613,"Coffee County","Alabama",51288,43.094,"S"
1243934589,2,"2","4",1033,"1",592.74496,"Colbert County","Alabama",54495,38.378,"S"
1239191289,1,"1","4",1033,"4",592.74496,"Colbert County","Alabama",54495,38.378,"S"
1245877729,1,"1","10",1033,"4",592.74496,"Colbert County","Alabama",54495,38.378,"S"
1240773929,1,"1","2",1033,"2",592.74496,"Colbert County","Alabama",54495,38.378,"S"
1247686011,2,"5","3",1033,"1",592.74496,"Colbert County","Alabama",54495,38.378,"S"
1242500677,1,"1","9",1033,"5",592.74496,"Colbert County","Alabama",54495,38.378,"S"
1235355395,1,"2","4",1035,"1",850.20002,"Conecuh County","Alabama",12514,32.656,"S"
1236755515,1,"1","2",1037,"1",650.91067,"Coosa County","Alabama",10855,31.328,"S"
1246487739,1,"1","5",1039,"1",1030.5565,"Covington County","Alabama",37351,35.651,"S"
1232944003,6,"2","5",1039,"1",1030.5565,"Covington County","Alabama",37351,35.651,"S"
1237339049,2,"2","97",1041,"2",608.86491,"Crenshaw County","Alabama",13865,36.645,"S"
1239245173,1,"1","2",1041,"1",608.86491,"Crenshaw County","Alabama",13865,36.645,"S"
1237025581,1,"1","3",1043,"2",734.78063,"Cullman County","Alabama",82313,39.607,"S"
1246344991,1,"1","10",1043,"3",734.78063,"Cullman County","Alabama",82313,39.607,"S"
1240342137,1,"1","9",1043,"2",734.78063,"Cullman County","Alabama",82313,39.607,"S"
1237562253,1,"1","8",1043,"2",734.78063,"Cullman County","Alabama",82313,39.607,"S"
1241235505,3,"1","5",1043,"3",734.78063,"Cullman County","Alabama",82313,39.607,"S"
1235764379,1,"1","8",1043,"3",734.78063,"Cullman County","Alabama",82313,39.607,"S"
1242931753,1,"1","6",1043,"3",734.78063,"Cullman County","Alabama",82313,39.607,"S"
1241042167,1,"1","6",1043,"1",734.78063,"Cullman County","Alabama",82313,39.607,"S"
1238395773,1,"5","1",1043,"3",734.78063,"Cullman County","Alabama",82313,39.607,"S"
1249692633,1,"1","6",1043,"1",734.78063,"Cullman County","Alabama",82313,39.607,"S"
1243039823,1,"2","2",1043,"1",734.78063,"Cullman County","Alabama",82313,39.607,"S"
1235500681,1,"1","3",1043,"2",734.78063,"Cullman County","Alabama",82313,39.607,"S"
1237560447,1,"1","4",1043,"3",734.78063,"Cullman County","Alabama",82313,39.607,"S"
1253319093,1,"1","6",1043,"3",734.78063,"Cullman County","Alabama",82313,39.607,"S"
1242617695,7,"1","5",1043,"1",734.78063,"Cullman County","Alabama",82313,39.607,"S"
1246253815,1,"1","10",1043,"2",734.78063,"Cullman County","Alabama",82313,39.607,"S"
1237561717,1,"1","97",1043,"3",734.78063,"Cullman County","Alabama",82313,39.607,"S"
1239067927,1,"2","7",1045,"4",561.10088,"Dale County","Alabama",49255,36.613,"S"
1256466715,1,"1","2",1045,"3",561.10088,"Dale County","Alabama",49255,36.613,"S"
1236783777,1,"1","5",1045,"2",561.10088,"Dale County","Alabama",49255,36.613,"S"
1232396669,2,"2","7",1045,"3",561.10088,"Dale County","Alabama",49255,36.613,"S"
1242985643,1,"5","5",1045,"4",561.10088,"Dale County","Alabama",49255,36.613,"S"
1247686221,2,"2","2",1047,"2",978.73797,"Dallas County","Alabama",40029,36.026,"S"
1249716133,2,"2","2",1047,"3",978.73797,"Dallas County","Alabama",40029,36.026,"S"
